epoch,acc,loss,val_acc,val_loss
0,0.578277636156597,0.6530283533209087,0.589175262094773,0.6291406756823825
1,0.6060411301860467,0.6256929141849968,0.5845360820440902,0.6294603329343894
2,0.6753213359641539,0.6021048457273175,0.6139175255888516,0.7064394179693202
3,0.6998714645295033,0.5823807973022019,0.6268041247559577,0.6168060563888746
4,0.7206940873116637,0.5612979440119089,0.6587628872738671,0.6693819878027611
5,0.7345758360884797,0.5497987150839484,0.7371134026763365,0.5533337371865499
6,0.7473007719437077,0.5199679580629638,0.6474226805352673,0.581761618864905
7,0.7393316189856639,0.5040502322976571,0.7134020644979379,0.5257129443367732
8,0.7541131118269383,0.4849625494915293,0.7025773174983939,0.546543524437344
9,0.7721079687532851,0.45526759376256204,0.7139175245442342,0.5980256267429627
10,0.7861182530312428,0.4414493112147314,0.7556701050591224,0.4888427784455191
11,0.8059125982397319,0.421405853373226,0.764432990673891,0.47291342699036154
12,0.8267352196428647,0.395398477087597,0.7824742265583313,0.48148377869547027
13,0.8305912630723498,0.38374177153895017,0.7840206168361545,0.4817131644057244
14,0.8411311055210379,0.37475861210596284,0.7809278381239507,0.4929304660595569
15,0.8466580983605667,0.36373693861814266,0.7541237129378564,0.5234721304522347
16,0.8606683815659472,0.34042790549349966,0.7819587655903137,0.5007554198202399
17,0.8700514132382018,0.3227026907865983,0.7871134016931671,0.48771825663207735
18,0.8703084807163033,0.32246049514619735,0.7932989695637497,0.49372065620324046
19,0.8786632386455193,0.30580074261577084,0.7664948449921363,0.5620951429777539
20,0.8784061671835598,0.30656832314855337,0.7963917531918004,0.5033354299123755
21,0.8913881720491424,0.28508276134193095,0.7881443322319346,0.5350868462287274
22,0.8931876566538774,0.278005192875096,0.7731958781321024,0.587961929437426
23,0.8980719744393023,0.27126243120600446,0.7881443316174537,0.5010796322189656
24,0.8991002530855507,0.2655541390410426,0.769587633536034,0.6067061325938431
25,0.9074550074905846,0.2464120002382059,0.803092784488324,0.5019078237801483
26,0.9082262152877749,0.2459248682354747,0.7912371146310236,0.5673920247972626
27,0.9116966523670599,0.24570499708191287,0.7922680427118675,0.5230090684190238
28,0.9179948522376524,0.22490273648753265,0.7835051577115796,0.5624146627396652
29,0.9164524360303707,0.22604580858487702,0.7850515430735558,0.5668895889803306
30,0.9224935671970593,0.2165051275495545,0.7773195886120354,0.6447308181026548
31,0.9219794279505478,0.21355145325007965,0.7912371164744663,0.5633133850300435
32,0.9313624600824782,0.199596967203375,0.7969072184611842,0.5421265311462363
33,0.9326478069729548,0.19229232359936121,0.812886601870822,0.5559790513871872
34,0.9343187599071807,0.19128811769283216,0.7376288673312393,0.7593927616925583
35,0.937275056207701,0.17967881926917173,0.7927835055233277,0.5685048882187027
36,0.9379177295763266,0.1790390948556689,0.7881443279305684,0.6100614789834956
37,0.9398457512144565,0.1701844503964204,0.7979381483854707,0.6066958580895797
38,0.9434447219561795,0.16455316915150472,0.7860824760702467,0.6304449836925133
39,0.9415167027696546,0.17008444750657578,0.7757731964907695,0.6789719608717972
40,0.947172228045819,0.1555012793574664,0.8010309313990406,0.6141365586789613
41,0.9466580906380112,0.1570894338889646,0.8108247444801724,0.6040960827976772
42,0.9552699160453286,0.13923057855363064,0.7840206217520016,0.644065694019352
43,0.9526992214982491,0.14185590608701454,0.7891752590838167,0.6527885541166227
44,0.9568123324058356,0.13669280952996643,0.7907216536630061,0.6828309170056864
